Entités administratives,Nombre d'habitants,Revenu total net imposable,Revenu moyen par déclaration,Revenu médian par déclaration,Revenu moyen par habitant,Indice de richesse,Impôt d'Etat,Taxes communales et d'agglomération,Impôt total,Code INS
Lummen,15.366,368.993.453,41.399,32.749,24.014,110,82.999.966,5.536.114,88.536.080,71037
Nieuwerkerken,7.190,163.466.421,38.645,30.695,22.735,104,34.509.317,2.635.497,37.144.814,71045
Saint-Trond,41.353,931.367.951,36.466,28.162,22.522,103,196.137.476,15.655.281,211.792.757,71053
Tessenderlo,18.838,449.754.861,40.089,31.793,23.875,110,100.233.361,6.979.804,107.213.165,71057
Zonhoven,21.653,513.771.940,40.419,31.667,23.728,109,112.550.872,9.049.389,121.600.261,71066
Zutendaal,7.345,172.526.409,38.814,31.442,23.489,108,35.579.714,2.980.995,38.560.709,71067
Ham,11.337,259.760.792,38.968,31.862,22.913,105,56.571.611,3.930.800,60.502.411,71069
Heusden-Zolder,34.623,723.463.975,36.814,29.843,20.895,96,144.456.531,10.912.462,155.368.994,71070
Arrondissement de Maaseik,257.393,5.477.119.979,36.702,30.232,21.279,98,1.019.667.057,78.456.010,1.098.123.067,72000
Bocholt,13.743,283.071.832,35.455,29.996,20.598,95,50.476.860,4.376.312,54.853.171,72003
Bree,16.695,361.255.462,36.220,29.667,21.639,99,69.075.517,5.790.095,74.865.612,72004
Kinrooi,12.330,254.940.760,36.136,29.963,20.676,95,41.709.556,2.975.681,44.685.237,72018
Lommel,34.826,755.259.525,36.743,30.216,21.687,100,142.855.090,9.373.976,152.229.066,72020
Maaseik,25.737,561.246.179,37.080,29.364,21.807,100,100.283.111,9.505.636,109.788.747,72021
Peer,16.534,360.506.488,37.749,31.206,21.804,100,72.351.509,5.910.307,78.261.816,72030
Hamont-Achel,14.458,295.710.128,35.748,29.120,20.453,94,45.304.870,3.387.824,48.692.694,72037
Hechtel-Eksel,12.914,276.156.710,37.814,31.574,21.384,98,54.193.436,4.550.177,58.743.613,72038
Houthalen-Helchteren,30.960,625.188.255,35.437,29.823,20.193,93,117.905.303,9.517.457,127.422.760,72039
Dilsen-Stokkem,21.305,439.348.626,35.543,29.442,20.622,95,80.538.162,6.911.293,87.449.454,72041
Oudsbergen,23.791,528.621.853,38.237,31.365,22.219,102,107.068.962,7.112.444,114.181.406,72042
