,id,Locality,Type of property,Subtype of property,Type of sale,Fully equipped kitchen,Fireplace,Terrace,Garden,Garden area,Surface of the land,Surface area of the plot of land,Swimming pool,State of the building,Compound Listing,Price,Number of rooms,Living Area,Furnished,Terrace area,Number of facades
9662,20316428,3190,HOUSE,HOUSE,residential_sale,1,0,0,1,380.0,380.0,570.0,0,TO_RENOVATE,single,270000.0,3.0,190.0,0.0,0.0,4.0
9663,20297371,9050,HOUSE,HOUSE,residential_sale,1,0,1,1,300.0,300.0,389.0,0,AS_NEW,single,547500.0,3.0,144.0,0.0,16.003340891865093,3.0
9664,20280823,7100,HOUSE,HOUSE,residential_sale,1,0,1,1,870.0,870.0,1158.0,0,GOOD,single,268000.0,3.0,122.0,0.0,39.27518018258829,2.0
9665,20313001,3300,HOUSE,HOUSE,residential_sale,0,0,1,0,0.0,0.0,90.0,0,GOOD,single,229000.0,3.0,120.0,0.0,5.44298089011655,3.0
9666,20291696,6723,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,351.0,0,GOOD,single,245000.0,3.0,131.0,0.0,0.0,2.0
9667,20319625,1570,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,843.0,0,GOOD,single,495000.0,4.0,384.0,0.0,10.56623478582842,3.0
9668,20280408,9600,HOUSE,HOUSE,residential_sale,1,0,1,1,180.0,180.0,181.0,0,AS_NEW,single,389000.0,4.0,200.0,0.0,23.0,2.0
9669,20275594,9140,HOUSE,HOUSE,residential_sale,1,0,1,1,860.0,860.0,1071.0,0,JUST_RENOVATED,single,499000.0,3.0,175.0,0.0,100.0,4.0
9670,20308805,4470,HOUSE,HOUSE,residential_sale,1,0,1,1,100.0,100.0,325.0,0,AS_NEW,single,330000.0,4.0,135.0,0.0,21.775856176334212,3.0
9671,20302678,9850,HOUSE,HOUSE,residential_sale,1,0,0,0,0.0,0.0,200.0,0,TO_RENOVATE,single,219000.0,2.0,95.0,0.0,0.0,3.0
9672,20219940,1070,HOUSE,HOUSE,residential_sale,1,0,1,1,145.0,145.0,215.0,0,GOOD,single,400000.0,4.0,185.0,0.0,10.0,2.0
9673,20311603,9340,HOUSE,HOUSE,residential_sale,0,0,1,1,400.0,400.0,571.0,0,GOOD,single,559000.0,4.0,175.0,0.0,25.0,3.0
9674,11226153,1330,HOUSE,MIXED_USE_BUILDING,residential_sale,1,1,1,1,795.0,795.0,795.0,0,TO_RESTORE,single,299000.0,4.0,230.0,0.0,3.0,3.0
9675,20316146,2200,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,254.0,0,UNKNOWN,single,415000.0,3.0,170.0,0.0,20.0,3.0
9676,20321111,9160,HOUSE,VILLA,residential_sale,0,1,0,0,0.0,0.0,1050.0,1,AS_NEW,single,698000.0,4.0,361.0,0.0,0.0,4.0
9677,20294398,9890,HOUSE,HOUSE,residential_sale,1,0,1,1,53.0,53.0,159.0,0,AS_NEW,single,401089.0,3.0,153.0,0.0,17.0,2.0
9678,20188230,4101,HOUSE,HOUSE,residential_sale,1,0,1,1,150.0,150.0,520.0,0,AS_NEW,single,230000.0,3.0,140.0,0.0,120.0,3.0
9679,20294255,8470,HOUSE,HOUSE,residential_sale,0,0,0,1,260.0,260.0,573.0,0,GOOD,single,259000.0,5.0,168.0,0.0,0.0,3.0
9680,20280160,9700,HOUSE,HOUSE,residential_sale,0,0,1,0,0.0,0.0,259.0,0,GOOD,single,349000.0,3.0,193.0,0.0,20.0,2.0
9681,20320540,9140,HOUSE,VILLA,residential_sale,0,0,1,0,0.0,0.0,283.0,0,AS_NEW,single,479000.0,4.0,172.0,0.0,37.786647772268694,4.0
9682,20309796,9800,HOUSE,HOUSE,residential_sale,1,0,0,0,0.0,0.0,304.0,0,AS_NEW,single,374001.0,3.0,183.0,0.0,0.0,2.0
9683,20281915,4100,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,165.0,0,AS_NEW,single,209000.0,4.0,123.0,1.0,54.0,2.0
9684,20293747,9890,HOUSE,HOUSE,residential_sale,1,0,1,1,15.0,15.0,198.0,0,AS_NEW,single,376000.0,3.0,174.0,0.0,9.0,3.0
9685,20305667,1180,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,200.0,0,GOOD,single,795000.0,7.0,361.0,0.0,26.852311653570833,2.0
9686,20231408,1070,HOUSE,HOUSE,residential_sale,1,0,0,1,65.0,65.0,200.0,0,TO_BE_DONE_UP,single,425000.0,3.0,155.0,0.0,0.0,3.0
9687,20295586,3400,HOUSE,HOUSE,residential_sale,1,0,1,1,280.0,280.0,572.0,0,GOOD,single,285000.0,3.0,120.0,0.0,23.259505391237578,3.0
9688,20305442,9800,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,220.0,0,GOOD,single,475000.0,4.0,192.0,0.0,23.0,3.0
9689,20290852,2550,HOUSE,HOUSE,residential_sale,0,0,1,0,0.0,0.0,660.0,0,GOOD,single,695000.0,4.0,195.0,0.0,23.0,3.0
9690,20283741,6741,HOUSE,HOUSE,residential_sale,0,0,1,0,0.0,0.0,807.0,0,GOOD,single,460000.0,3.0,160.0,0.0,8.201614280465119,4.0
9691,20314991,1030,HOUSE,MIXED_USE_BUILDING,residential_sale,1,0,0,0,0.0,0.0,138.0,0,GOOD,single,990000.0,6.0,446.0,0.0,0.0,3.0
9692,20269974,9600,HOUSE,TOWN_HOUSE,residential_sale,1,0,1,1,120.0,120.0,220.0,0,JUST_RENOVATED,single,295000.0,3.0,252.0,0.0,21.0,2.0
9693,20282480,1933,HOUSE,HOUSE,residential_sale,1,0,1,1,650.0,650.0,713.0,0,TO_RENOVATE,single,245000.0,3.0,140.0,0.0,50.0,2.0
9694,20242516,1070,HOUSE,HOUSE,residential_sale,1,0,1,1,85.0,85.0,155.0,0,AS_NEW,single,545000.0,3.0,140.0,0.0,21.0,2.0
